Sr. No.,Name,District,Address of Hospital,Clusters in HMIS application
465,Primary Health Centre Songadh,BHAVNAGAR,"AT : SONGADH, OLD PALITANA ROAD, TA : SIHOR, DIST : BHAVNAGAR"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
466,Primary Health Centre Talgajarda,BHAVNAGAR,Phc Talgajarda Ta-Mahuva Di-Bhavnagar 364290," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
467,Primary Health Centre Tana,BHAVNAGAR,"At Tana,main bajar,Gokul Restorant same,Ta Sihor,Dist : Bhavnagar"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
468,Primary Health Centre Tansa,BHAVNAGAR,AT TANSA TA-GHOGHA DIST.-BHAVNAGAR," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
469,Primary Health Centre Trapaj,BHAVNAGAR,"phc- trapaj at trapaj , tal -talaja , Dist -bhavnagar"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
470,Primary Health Centre Unchadi,BHAVNAGAR,"PRATHMIK AROGY KENDR UNCHADI,MANGELA ROAD AT-UNCHADI,TA-TALAJA"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
471,Primary Health Centre Undavi,BHAVNAGAR,"BPL Vistar, At.Undavi Ta.Dist.Bhavnagar"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
472,Primary Health Centre Usarad,BHAVNAGAR,"At:Usarad, Tal:Sihor, Dist:Bhavnagar"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
473,Primary Health Centre Valukad,BHAVNAGAR,PHC VALUKAD TA.PALITANA DIST.BHAVNAGAR," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
474,Primary Health Centre Valukad G,BHAVNAGAR,"At-Valukad,Taluko-ghogha,dist-Bhavnagar"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
475,Primary Health Centre Velavadar,BHAVNAGAR,PHC VELAVADAR TA:GARIYADHAR DIST:BHAVNAGR," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
476,Sir T. civil hospital,BHAVNAGAR,"H.L.VAIDHYA ROAD,BHAVNAGAR."," CLUSTER-1 BURNS AND PLASTIC SURGERY, CLUSTER-2 CARDIOLOGY, CLUSTER-3 CARDIO THORACIC SURGERY, CLUSTER-4 CARDIO VASCULAR SURGERY, CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-6 NEUROSURGERY/NEUROLOGY/INTERVENTIONAL NEURORADIOLOGY, CLUSTER-7 PAEDIATRI
"
477,U-PHC MAHUVA-1,BHAVNAGAR,"Uphc 1 Mahuva Navazapa Centar,Sanghediya Bazar Mahuva"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
478,U-PHC MAHUVA-2,BHAVNAGAR,Uphc 2 Mahuva Khodiyar Nagar Milni Chali Mahuva," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
479,U-PHC PALITANA,BHAVNAGAR,"Uphc Palitana,Lakshmivadi,Baharpara,Palitana"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
480,U-PHC SIHOR,BHAVNAGAR,"Chittaliya Bal Mandir ,Vadla Chok,Sihor"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
481,COMMUNITH HEALTH CENTRE botad,BOTAD,"Sonavala Hospital, Near Railway Crossing, Botad-364710"," CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-16 ENT, CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-18 OPTHALMOLOGY, CLUSTER-19 GENERAL SURGERY, CLUSTER-20 ORAL AND MAXILLO FACIAL SURGERY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-22 MENTAL DISORDER PACK
"
482,COMMUNITH HEALTH CENTRE Gadhada,BOTAD,Sama Kaanthe Adtala Road Gadhada," CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-16 ENT, CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-18 OPTHALMOLOGY, CLUSTER-19 GENERAL SURGERY, CLUSTER-20 ORAL AND MAXILLO FACIAL SURGERY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-22 MENTAL DISORDER PACK
"
483,COMMUNITH HEALTH CENTRE Paliyad,BOTAD,Near St Stand Paliyad," CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-16 ENT, CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-18 OPTHALMOLOGY, CLUSTER-19 GENERAL SURGERY, CLUSTER-20 ORAL AND MAXILLO FACIAL SURGERY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-22 MENTAL DISORDER PACK
"
484,COMMUNITY HEALTH CENTRE Lathidad,BOTAD,Chclathidad Ta.Di.Botad Salangpur Road Umiya Mandir Same,"CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-16 ENT, CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-18 OPTHALMOLOGY, CLUSTER-19 GENERAL SURGERY, CLUSTER-20 ORAL AND MAXILLO FACIAL SURGERY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-22 MENTAL DISORDER PACKA
"
485,PHC BHADRAVADI,BOTAD,"Bhadravadi, Ta. Botad, Dist. Botad"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
486,PHC BHIMNATH,BOTAD,School Near Bhimnath Phc," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
487,PHC DHASA,BOTAD,NA," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
488,PHC GADHALI,BOTAD,Behind Govt.School Salangpur," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
489,PHC JALILA,BOTAD,At Jalila Ta Ranpur Dist Botad 382255," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
490,PHC KHAS,BOTAD,"Near Busstand, Khas"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
491,PHC KHOPALA,BOTAD,"Uphc-2 ,Javernagar"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
492,PHC MOTIKUNDAL,BOTAD,"Near Gangaba High School, Motikundal"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
493,PHC NAGNESH,BOTAD,"Lakheni Ta,Botad Dist,Botad"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
494,PHC SALANGPUR,BOTAD,Umrala," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
495,PHC SARVA,BOTAD,Gram Panchant Near. Sarva," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
496,PHC TURKHA,BOTAD,Nava Navda," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
497,PHC UMRALA,BOTAD,Devadhari Road Turkha," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
498,PHC-LAKHENI,BOTAD,"Gadhada Road ,Shivpara ,Botad"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
499,PHC-NAVADA,BOTAD,"Near Busstand, Khopala"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
500,PHC-ZAMRALA,BOTAD,Gram Panchant Near. Zamrala," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
501,UPHC Gadhada,BOTAD,"Jin Naka, Near Kanya Vidhalay School"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
502,"U-PHC UPHC-1,Shivpara",BOTAD,"Shivparar,Botad"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
503,"U-PHC UPHC-2,Khodiyarnagar",BOTAD,"Uphc-2 Javernagar ,Botad."," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
504,UPHC-1 BOTAD,BOTAD,"Jobala Road, At-Nagnesh Ta-Ranpur Dist-Botad"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
505,UPHC-2 BOTAD,BOTAD,Sanjanavadar Road Gadhali Ta-Gadhada," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
506,CHC KAWANT,CHHOTAUDEPUR,"CHC Kawant, Ta Kawant, Chhotaudepur "," CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-16 ENT, CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-18 OPTHALMOLOGY, CLUSTER-19 GENERAL SURGERY, CLUSTER-20 ORAL AND MAXILLO FACIAL SURGERY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-22 MENTAL DISORDER PACK
"
507,CHC NASWADI,CHHOTAUDEPUR,"CHC Naswadi, Ta Naswadi, Chhotaudepur"," CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-16 ENT, CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-18 OPTHALMOLOGY, CLUSTER-19 GENERAL SURGERY, CLUSTER-20 ORAL AND MAXILLO FACIAL SURGERY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-22 MENTAL DISORDER PACK
"
508,CHC PAVIJETPUR,CHHOTAUDEPUR,Pavi Jetpur Chhotaudepur," CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-16 ENT, CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-18 OPTHALMOLOGY, CLUSTER-19 GENERAL SURGERY, CLUSTER-20 ORAL AND MAXILLO FACIAL SURGERY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-22 MENTAL DISORDER PACK
"
509,CHC SANKHEDA,CHHOTAUDEPUR,Sankheda Chhotaudepur," CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-16 ENT, CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-18 OPTHALMOLOGY, CLUSTER-19 GENERAL SURGERY, CLUSTER-20 ORAL AND MAXILLO FACIAL SURGERY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-22 MENTAL DISORDER PACK
"
510,CHC ZOZ,CHHOTAUDEPUR,Zoz Chhotaudepur," CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-16 ENT, CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-18 OPTHALMOLOGY, CLUSTER-19 GENERAL SURGERY, CLUSTER-20 ORAL AND MAXILLO FACIAL SURGERY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-22 MENTAL DISORDER PACK
"
511,PHC Bahadarpur,CHHOTAUDEPUR,Bahadarpur," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
512,PHC GADHBORIYAD,CHHOTAUDEPUR,Phc Gadhboriyad Naswadi Chhotaudepur," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
513,PHC Panvad,CHHOTAUDEPUR,"PHC Panvad, Ta Kawant, Chhotaudepur"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
514,PHC Tejgadh,CHHOTAUDEPUR,Tejagadh," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
515,"R.H. C.H.C,Chhotaudepur",CHHOTAUDEPUR,Opp Head Post Office Chhotaudeur," CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-16 ENT, CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-18 OPTHALMOLOGY, CLUSTER-19 GENERAL SURGERY, CLUSTER-20 ORAL AND MAXILLO FACIAL SURGERY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-22 MENTAL DISORDER PACK
"
516,"R.H. C.H.C,Jabugam",CHHOTAUDEPUR,At Jabugam Ta Bodeli District Chhotaudepur," CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-16 ENT, CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-18 OPTHALMOLOGY, CLUSTER-19 GENERAL SURGERY, CLUSTER-20 ORAL AND MAXILLO FACIAL SURGERY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-22 MENTAL DISORDER PACK
"
517,GENERAL HOSPITAL AHWA,DANG,"Near Jilla Seva Sadan, High School Road"," CLUSTER-1 BURNS AND PLASTIC SURGERY,CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-6 NEUROSURGERY/NEUROLOGY/INTERVENTIONAL NEURORADIOLOGY, CLUSTER-7 PAEDIATRIC SURGERY, CLUSTER-8 POLY-TRAUMA, Cluster - 14 JOINT REPLACEMENT, CLUSTER-16 ENT, CLUSTER-17 
"
518,PHC Kalibel,DANG,At Kalibel Ta Ahwa Dist Dang," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
519,PHC Sakarpatal,DANG,At- Sakarpatal Ta Ahwa Dist Dang," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
520,PHC Saputara,DANG,At Saputara Ta Ahwa Dist Dang," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
521,PHC shamghan,DANG,At Shamghan Ta Ahwa Dist Dang," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
522,PHC Subir,DANG,At- Subir Ta Ahwa Dist Dang," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
523,Waghai CHC,DANG,Chc," CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-16 ENT, CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-18 OPTHALMOLOGY, CLUSTER-19 GENERAL SURGERY, CLUSTER-20 ORAL AND MAXILLO FACIAL SURGERY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-22 MENTAL DISORDER PACK
"
524,CHC Rawal,DEVBHOOMI DWARKA,Jamraval," CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-16 ENT, CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-18 OPTHALMOLOGY, CLUSTER-19 GENERAL SURGERY, CLUSTER-20 ORAL AND MAXILLO FACIAL SURGERY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-22 MENTAL DISORDER PACK
"
525,CHC Bhanvad,DEVBHUMI DWARKA,Out Of Verad Gate Bhanvad Tal Bhanvad Dis Jamnagar," CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-16 ENT, CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-18 OPTHALMOLOGY, CLUSTER-19 GENERAL SURGERY, CLUSTER-20 ORAL AND MAXILLO FACIAL SURGERY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-22 MENTAL DISORDER PACK
"
526,CHC Dwarka,DEVBHUMI DWARKA,Community Helth Center Dwarka," CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-16 ENT, CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-18 OPTHALMOLOGY, CLUSTER-19 GENERAL SURGERY, CLUSTER-20 ORAL AND MAXILLO FACIAL SURGERY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-22 MENTAL DISORDER PACK
"
527,chc jamkalyanpur,DEVBHUMI DWARKA,At Jamkalyanpur Dis Jamnagar," CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-16 ENT, CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-18 OPTHALMOLOGY, CLUSTER-19 GENERAL SURGERY, CLUSTER-20 ORAL AND MAXILLO FACIAL SURGERY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-22 MENTAL DISORDER PACK
"
528,CHC Salaya,DEVBHUMI DWARKA,Community Health Center Salaya," CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-16 ENT, CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-18 OPTHALMOLOGY, CLUSTER-19 GENERAL SURGERY, CLUSTER-20 ORAL AND MAXILLO FACIAL SURGERY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-22 MENTAL DISORDER PACK
"
529,"General Hospital, JamKhambhalia",DEVBHUMI DWARKA,Highway Char Rasta Near Reliance Circle Jam-Khambhaliya," CLUSTER-1 BURNS AND PLASTIC SURGERY, CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-6 NEUROSURGERY/NEUROLOGY/INTERVENTIONAL NEURORADIOLOGY, CLUSTER-7 PAEDIATRIC SURGERY, CLUSTER-8 POLY-TRAUMA, Cluster - 14 JOINT REPLACEMENT, CLUSTER-16 ENT, CLUSTER-17
"
530,Primary Health Centre BAJANA,DEVBHUMI DWARKA,"Bajana,Ta-Jam Khambhaliya,Devbhumi Dwarka"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
531,Primary Health Centre BHADTHAR,DEVBHUMI DWARKA,"Bhadthar,Ta-Jam Khambhaliya,Devbhumi Dwarka"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
532,Primary Health Centre BHATIYA,DEVBHUMI DWARKA,"PHC Bhatiya near Bas stand,Ta-Kalyanpur Dist-Decbhumi Dwarka"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
533,Primary Health Centre BHINDA,DEVBHUMI DWARKA,"Bhinda,Ta-Jam Khambhaliya,Devbhumi Dwarka"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
534,Primary Health Centre BHOGAT,DEVBHUMI DWARKA,"PHC Bhogat,Ta-Kalyanpur Dist-Decbhumi Dwarka"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
